"Stagione","DATA_misura","DATA_inizio","num_misura","tipo_misura","T_media","consumo_gasm_smc","giorni_off"
"2012-2013",2012-11-29,2012-10-24,1,"ON",8.9,2600,1
"2012-2013",2012-12-20,2012-11-29,2,"ON",2.4,2901,1
"2012-2013",2013-02-01,2012-12-20,3,"ON",3.1,5379,4
"2012-2013",2013-02-25,2013-02-01,4,"ON",2.5,3476,0
"2012-2013",2013-03-26,2013-02-25,5,"ON",7.2,2885,0
"2012-2013",2013-05-08,2013-03-26,6,"ON/OFF",10.2,1463,24
"2012-2013",2013-10-03,2013-05-08,7,"OFF",20.9,0,148
"2013-2014",2013-10-31,2013-10-03,8,"OFF/ON",13.9,603,11
"2013-2014",2013-11-28,2013-10-31,9,"ON",8.1,2195,1
"2013-2014",2013-12-30,2013-11-28,10,"ON",3,4353,3
"2013-2014",2014-01-27,2013-12-30,11,"ON",4.6,2895,2
"2013-2014",2014-02-26,2014-01-27,12,"ON",5.5,3593,0
"2013-2014",2014-03-25,2014-02-26,13,"ON",10.2,1898,0
"2013-2014",2014-04-28,2014-03-25,14,"ON/OFF",14.1,668,13
"2013-2014",2014-10-01,2014-04-28,15,"OFF",20,0,156
"2014-2015",2014-10-30,2014-10-01,16,"OFF/ON",13.7,504,13
"2014-2015",2014-12-02,2014-10-30,17,"ON",9.6,2243,1
"2014-2015",2015-01-07,2014-12-02,18,"ON",4.7,3950,5
"2014-2015",2015-02-02,2015-01-07,19,"ON",3.9,3105,0
"2014-2015",2015-03-03,2015-02-02,20,"ON",4.8,3301,0
"2014-2015",2015-03-26,2015-03-03,21,"ON",8.9,1617,0
"2014-2015",2015-04-15,2015-03-26,22,"ON",13.9,309,1
"2014-2015",2015-04-30,2015-04-15,23,"OFF",14.8,0,15
"2014-2015",2015-10-06,2015-04-30,24,"OFF",21.9,0,159
"2015-2016",2015-11-02,2015-10-06,25,"OFF/ON",10.7,1034,9
"2015-2016",2015-12-02,2015-11-02,26,"ON",7.9,2355,0
"2015-2016",2015-12-21,2015-12-02,27,"ON",4.8,2043,1
"2015-2016",2016-02-02,2015-12-21,28,"ON",4.1,4812,4
"2015-2016",2016-03-01,2016-02-02,29,"ON",6.5,2681,0
"2015-2016",2016-04-04,2016-03-01,30,"ON",9.8,2214,1
"2015-2016",2016-05-02,2016-04-04,31,"ON/OFF",14.9,340,17
"2015-2016",2016-10-03,2016-05-02,32,"OFF",21.8,0,154
